ID;Nombre;Fundación (dd/mm/aaaa);Apodo;Sigla;Nombre Corto;Estadio;Sitio oficial (http://www.sitio.com);Twitter (sin @);ID DataFactory;ID Liga;ID País;Descripción;;;;
32;Club Social y Deportivo Merlo;19/10/1954;Los Charros;DM;Dep. Merlo;"José Manuel ""Charro"" Moreno";http://www.clubdeportivomerlo.com/;DeportivoMerlo;;;13;;;;;
33;Club Atlético Tucumán;27/9/1902;El Decano;CAT;At. Tucumán;Monumental José Fierro;http://www.atleticotucuman.com.ar/;ATOficial;;;13;;;;;
34;Club Sportivo Independiente Rivadavia;24/1/1913;La Lepra;IRM;Indepte. Rivadavia;"Bautista Gargantini, ""La Catedral""";http://www.independientemza.com.ar/;IndepteRivMza;;;13;;;;;
35;Club Atlético Huracán;11/01/1908;Globo, Quemeros;CAH;Huracán ;"Tomás Adolfo Ducó, ""El Palacio""";http://www.clubahuracan.com.ar/;HuracanOficial;;;13;;;;;
36;Club Atlético Gimnasia y Esgrima ;18/3/1931;Lobo Jujeño;GEJ;Gimnasia (J);"23 de Agosto, ""Coliseo Jujeño""";http://www.gimnasiayesgrimadejujuy.com/;GimnasiaJujuy;;;13;;;;;
37;Club Atlético Chacarita Juniors;05/01/1906;Funebrero, Chaca, Tricolor de San Martín;CACJ;Chacarita;Chacarita Juniors;http://www.chacaritajuniors.org.ar/;ChacaOficial;;;13;;;;;
38;Club Atlético Douglas Haig;18/11/1918;Fogoneros, Rojinegros, Milan de Pergamino;CADH;Douglas Haig;Miguel Morales;NO TIENE;CADouglasHaig ;;;13;;;;;
39;Club Atlético Sarmiento;04/01/1911;Guerrero, Verde de Junín;CAS;Sarmiento;Eva Perón;http://www.sarmientodejunin.com.ar/;SarmientoDJunin;;;13;;;;;
40;Club Atlético Nueva Chicago;07/01/1911;Torito, Verdinegro;CANCH;Nueva Chicago;República de Mataderos;http://www.nuevachicago.com/;ca_nuevachicago;;;13;;;;;
41;Club Crucero del Norte;19/7/1989;Colectivero;CCN;Crucero del Norte;Comandante Andrés Guacurarí;http://www.clubcrucerodelnorte.com.ar/;;;;13;;;;;
42;Borussia Dortmund;19/12/1909;Negro y Amarillo;BVB 09;B.Dortmund;Signal Iduna Park;http://www.bvb.de/;bvb;707;5;3;;;;;
43;FC Bayern Munich;27/2/1900;Bávaros, Gigante de Baviera;FCBM;Bayern Munich;Allianz Arena;http://www.fcbayern.de;fcbayern_news ;617;5;3;;;;;
44;FC Schalke 04;05/04/1904;Azul Real, Mineros;S04;Schalke 04;Veltins Arena;http://www.schalke04.de/;S04;711;5;3;;;;;
45;Borussia Mönchengladbach;08/01/1900;Los Potros;BM;Borussia M.;Borussia Park;http://www.borussia.de/;vflborussia;1259;5;3;;;;;
46;Bayer Leverkusen;07/01/1904;Los Leones;BL;B.Leverkusen;Bay Arena;http://www.bayer04.de/;bayer04fussball;706;5;3;;;;;
