ID;Nombre;Fundación (dd/mm/aaaa);Apodo;Sigla;Nombre Corto;Estadio;Sitio oficial (http://www.sitio.com);Twitter (sin @);ID DataFactory;ID Liga;ID País;Descripción;;;;
156;Club The Strongest;04/08/1908;Tigre, Atigrados, Aurinegro, Decano;CTS;The Strongest;Rafael Mendoza Castellón ;http://www.club-thestrongest.com/;ClubStrongest;;;27;;;;;
157;Club Deportivo San José de Oruro;19/3/1942;Santo, Minero, V Azulada;DSJ;San José;Jesús Bermúdez;http://www.club-sanjose.com/;ClubSanJose;;;27;;;;;
158;Club Deportivo Oriente Petrolero;11/05/1955;Albiverdes,Verdolagas;CDOP;Oriente Petrolero;Ramón Tahuichi Aguilera;http://www.daleooo.com/;OrientepOficial;;;27;;;;;
159;Club Universitario San Francisco Xavier;04/05/1961;U de Sucre, Docto, Estudiantil;CUS;Universitario de Sucre;Olímpico Patria;http://www.aguantelau.com/;LaUdeSucre;;;27;;;;;
160;Club Social, Cultural y Deportivo Blooming;05/01/1946;Millonario, Pascaneros ;SCDP;Blooming;Ramón Tahuichi Aguilera;http://www.clubblooming.com.bo/;ClubBloomingSC;;;27;;;;;
161;Club Bamin Real Potosí; 20/10/1941;Fenómeno, Lilas, León;CBRP;Real Potosí;Víctor Agustín Ugarte;http://www.realpotosi.com/;imperiorealista;;;27;;;;;
162;Club Aurora;27/5/1935;El equipo del pueblo, Celeste;CB;Aurora;Félix Capriles;http://www.clubaurora.com.bo;Club_Aurora ;;;27;;;;;
163;Club Atlético Nacional Potosí;04/08/1942;Pata lados, Banda Roja, Rancho Guitarras;CANP;Nacional Potosí;Victor Agustín Ugarte;NO TIENE;NacionalPotosi;;;27;;;;;
164;Fútbol Club Bolívar;04/12/1925;La Academia ;FCB;Bolívar;Hernando Siles;http://www.clubbolivar.com/;Bolivar_Oficial;;;27;;;;;
165;La Paz Fútbol Club;30/5/1989;Azulgranas, Ingenieros, Hombres Cóndor;LPFC;La Paz;Cosmos79;NO TIENE;La_PazFC;;;27;;;;;
166;Club Deportivo Jorge Wilstermann;24/11/1949;Aviador, Rojo;CDJW;Wilstermann;Félix Capriles;http://www.jorgewilstermann.com/;Wilstermann;;;27;;;;;
167;Club Petrolero;09/04/2000;Petrolero del Chaco, Petrolero de Yacuiba;CBY;Petrolero;Provincial de Yacuiba;http://www.petrolero-del-chaco.globered.com/;PetrolerodelCha;;;27;;;;;
168;Botafogo de Futebol e Regatas;08/12/1904;Fogão, Estrela Solitaria, Glorioso;BFR;Botafogo;Santa Cruz;http://www.botafogo.com.br/;BotafogoOficial;254;2;31;;;;;
169;Sport Club Internacional;04/04/1909;Inter, Colorado;SCI;Internacional;Beira Rio;http://www.internacional.com.br/;SCInternacional;116;2;31;;;;;
170;Figueirense Futebol Clube;06/12/1921;Figueira;FFC;Figueirense;Orlando Scarpelli;http://www.figueirense.com.br/;figueirensefc;307;2;31;Vitoria;;;;
171;Club de Regatas Vasco da Gama;21/8/1898;Gigante da Colina, Vascão, Trem Bala;CRVD;Vasco ;São Januário;http://www.vasco.com.br/;crvascodagama;261;2;31;;;;;
172;Clube Atlético Mineiro;25/3/1908;Galo, Glorioso;CAM;Atlético Mineiro;Mineirão;http://www.atletico.com.br/;sitedogalo;624;2;31;;;;;
173;Fluminense Football Club;21/7/1902;Flu, Fluzão, Tricolor;FFC;Fluminense;Maracaná;http://www.fluminense.com.br/;OficialFlu;113;2;31;;;;;
174;Clube de Regatas do Flamengo;15/11/1895;Mengão, Fla, Urubu;CRF;Flamengo;Maracaná;http://www.flamengo.com.br/;CR_Flamengo;256;2;31;;;;;
175;Sociedade Esportiva Palmeiras;26/8/1914;Verdão, Alviverde, Palestra;SEP;Palmeiras;Palestra Itália;http://www.palmeiras.com.br/;SitePalmeiras;80;2;31;Goiás;;;;
176;Associação Portuguesa de Desportos;14/8/1920;Lusa, Rubro Verde;APD;Portuguesa;Do Edno;http://www.portuguesa.com.br/;Lusa_Oficial;248;2;31;;;;;
177;Sport Club do Recife;13/5/1905;Leão;SCR;Sport Recife;Ilha do Retiro;http://www.sportrecife.com.br/;sportrecife;626;2;31;Criciúma;;;;
178;Cruzeiro Esporte Clube;01/02/1921;Raposa, Zêro, Zêro, Celeste;CEC;Cruzeiro;Mineirão;http://www.cruzeiro.com.br/;CruzeiroEC;108;2;31;;;;;
179;Esporte Clube Bahia;01/01/1931;Tricolor, Baêa, Bahiaço;ECB;Bahía;Pituaçu;http://www.esporteclubebahia.com.br/;ecbahia_oficial;991;2;31;;;;;
180;Atlético Clube Goianiense;04/02/1937;Dragão, Locomotiva Rubro Negra;ACG;Goianiense;Serra Dourada;http://www.atleticocg.com.br/;acgoficial;1677;2;31;At. Paranaense;;;;
181;Santos Futebol Clube;14/4/1912;Peixe, Santástico, Alvinegro Praiano, Leão do Mar;SFC;Santos;Vila Belmiro;http://www.santosfc.com.br/;santosfc;73;2;31;;;;;
182;Gremio Foot-Ball Porto Alegrense;15/9/1903;Imortal Tricolor, Tricolor Gaucho;GFPA;Gremio;Olímpico Monumental;http://www.gremio.net/;gremiooficial;309;2;31;;;;;
183;Clube Náutico Capibaribe;04/07/1901;Alvirrubro, Coroado, Glorioso;CNC;Náutico;Aflitos;http://www.nautico-pe.com.br/;nauticope;625;2;31;;;;;
184;Sport Club Corinthians Paulista;09/01/1910;Timão, Coringão, Todo Poderoso;SCC;Corinthians;Pacaembú;http://www.corinthians.com.br/;sitecorinthians;107;2;31;;;;;
185;Associação Atlética Ponte Preta;08/11/1900;Macaca, Veterana;AAPP;Ponte Preta;Moisés Lucarelli;http://www.pontepretaesportes.com.br/;aapp_oficial;247;2;31;;;;;
186;São Paulo Futebol Clube;25/1/1930;Tricolor, Clube da Fé, Soberano;SPFC;San Pablo;Morumbí;http://www.saopaulofc.net/;SaoPauloFC;75;2;31;;;;;
187;Coritiba Foot Ball Club;10/12/1909;Coxa, Glorioso, Vovô;CFBC;Coritiba;Couto Pereira;http://www.coritiba.com.br/;coritiba;628;2;31;;;;;
188;Corporación Club Deportes Tolima;18/12/1954;Pijaos, Vinotinto y Oro;CDT;Tolima;Manuel Murillo Toro;http://www.deportestolima.com/;cdtolima;;;47;;;;;
189;Club Independiente Santa Fe;28/2/1941;Cardenales, Expreso Rojo, León;ISF;Santa Fe;"Nemesio Camacho, ""El Campín""";http://www.independientesantafe.co/;IndSantaFeCO;;;47;;;;;
190;Club Deportivo Atlético Huila;29/11/1990;Opitas, Bambuqueros;CDAH;Huila;Guillermo Plazas Alcid;http://www.clubatleticohuila.com/;AtleticoHuila;;;47;;;;;
191;Club Deportivo La Equidad Seguros;13/12/1982;Aseguradores;LES;La Equidad;Metropolitano de Techo;http://www.equidadclubdeportivo.com/;laequidadcd;;;47;;;;;
192;Itagüí Fútbol Club;07/02/2008;Águilas Doradas;IFC;Itagüí ;Metropolitano Ciudad de Itagüí;http://www.aguilasdoradasitagui.com/;ItaguiDitaires;;;47;;;;;
193;Asociación Deportivo Pasto;10/12/1949;Fuerza Tricolor, Equipo Volcánico;ADP;Dep. Pasto;Departamental Libertad;http://www.deportivopasto.com.co/;DeportivoPasto;;;47;;;;;
194;Club Deportivo Junior de Barranquilla;08/07/1924;Tiburones, Rojiblancos;CDJB;Junior;Metropolitano Roberto Meléndez;http://www.juniorbarranquilla.com/;corpojunior;;;47;;;;;
195;Deportivo Boyacá Chicó Fútbol Club;26/3/2002;Ajedrezados;BCFC;Boyacá Chicó ;La Independencia;http://www.boyacachico.com/;BCHICOFCOFICIAL;;;47;;;;;
196;Asociación Deportivo Cali;23/11/1912;Amenaza Verde, Azucareros, Verdiblancos;ADC;Dep. Cali;Pascual Guerrero;http://www.deportivocali.com.co/;AsoDeporCali;;;47;;;;;
197;Corporación Deportiva Patriotas Fútbol Club;2003;Muiscas, Lanceros, Acereros;CDP;Patriotas;La Independencia;http://www.patriotasfc.com/;patriotasfutbol;;;47;;;;;
198;Club Atlético Nacional de Medellín;03/08/1947;Rey de Copas, Verdolagas, Nacionalistas;CANM;At. Nacional ;Atanasio Girardot;http://www.atlnacional.com.co/;nacionaloficial;;;47;;;;;
199;Millonarios Fútbol Club;18/6/1946;Millos, Embajadores, Albiazules;MFC;Millonarios;"Nemesio Camacho, ""El Campín""";http://www.millonarios.com.co/;MillosFCoficial;;;47;;;;;
200;Envigado Fútbol Club ;14/10/1989;Naranja;EFC;Envigado;Polideportivo Sur;http://www.envigadofutbolclub.net/;EnvigadoFC;;;47;;;;;
201;Corporación Deportiva Real Cartagena;01/10/1971;Heroicos, Auriverdes;CDRC;Real Cartagena;Jaime Morón León;http://www.futbolclubcartagena.com/;RealCartagenaCD;;;47;;;;;
202;Corporación Deportes Quindío;01/08/1951;Cuyabros, Cafeteros, Milagroso;CDQ;Quindío;San José;http://www.deportesquindio.com.co/;DeporQuindioCD;;;47;;;;;
203;Corporación Deportivo Independiente Medellín;15/4/1913;Poderoso de la Montaña, Medallo, Rey de Corazones, Rojo;DIM;Indepte. Medellín;Atanasio Girardot;http://www.dim.com.co/;oficialDIM;;;47;;;;;
204;Corporación Deportiva Once Caldas;16/1/1961;Blanco Blanco, Sabios;DOC;Once Caldas;Palogrande;http://www.oncecaldas.com.co/;oncecaldasweb;;;47;;;;;
205;Cúcuta Deportivo Fútbol Club;09/10/1924;Motilones, Rojinegro;CDFC;Cúcuta;General Santander;http://www.soyrojinegro.com/;CUCUTADEPORTIVO;;;47;;;;;
206;Club Universidad de Chile;24/5/1927;La U, Chuncho, Bulla, Azules;CUC;Universidad de Chile;Nacional de Chile;http://www.udechile.cl/;udechile;;;44;;;;;
207;Club Deportivo O'Higgins ;04/07/1955;Capo de Provincia, Celeste;CDO;O'Higgins;Teniente de Rancagua;http://www.ohigginsfc.cl/;Ohigginsoficial;;;44;;;;;
208;Club de Deportes Iquique ;21/5/1978;Dragones Celestes;CDI;Iquique;Tierra de Campeones;http://www.clubdeportesiquique.cl/;ClubDIquique;;;44;;;;;
209;Universidad Católica;21/4/1937;Los Cruzados;UC;Universidad Católica;San Carlos de Apoquindo;http://www.cruzados.cl;CruzadosSADP;;;44;;;;;
210;Club Unión Española;18/5/1897;Hispanos, Rojos de Santa Laura;CUE;Unión Española;Santa Laura;http://www.unionespanola.cl/;Ueoficial;;;44;;;;;
211;Club Social y Deportivo Colo Colo;19/4/1925;Albos, Cacique;CCC;Colo Colo;Monumental David de Arellano;http://www.colocolo.cl/;colocolooficial;;;44;;;;;
212;Deportes Unión La Calera ;26/1/1954;Cementeros, Máquina Cementera;DUC;Unión La Calera;Nicolás Chahúan;http://www.unionlacalera.cl/;Union_LaCalera;;;44;;;;;
213;Club de Deportes Cobreloa ;01/07/1977;Zorros del Desierto, Loínos, Mineros.;CDC;Cobreloa;Municipal de Calama;http://www.cobreloa.cl/;cobreloaoficial;;;44;;;;;
214;Club Deportivo Huachipato;06/07/1947;Acereros, Siderúrgicos, Campeón del Sur;CDH;Huachipato;CAP de Talcahuano;http://www.cdhuachipato.cl ;CD_Huachipato;;;44;;;;;
215;Club Deportivo Universidad de Concepción;08/08/1994;U de Conce, Campanil;CDUC;U. Concepción;Alcaldesa Ester Roa;http://www.laudeconce.cl/;laudeconce_cl;;;44;;;;;
216;Club de Deportes Santiago Wanderers;15/8/1892;Caturros, Porteños, Verde;CDSW;S. Wanderers;Regional Chiledeportes de Valparaíso;http://www.santiagowanderers.cl/;swanderers;;;44;;;;;
217;Audax Italiano La Florida ;30/11/1910;Tanos, Audinos, Verde de los Valles;AILF;Audax Italiano;Bicentenario de La Florida;http://www.audaxitaliano.cl/;audaxitaliano;;;44;;;;;
218;Club de Deportes La Serena ;12/09/1955;Granates, Papayeros;CDLS;La Serena;La Portada;http://www.clubdeporteslaserena.cl/;CDLASERENA ;;;44;;;;;
219;Club Social de Deportes Rangers;11/02/1902;Piducanos, Rojinegros, Talquinos;CSDR;Rangers;Fiscal de Talca;http://www.rangersdetalca.com/;Rangersdetalca_;;;44;;;;;
220;Club Deportivo Palestino ;20/8/1920;Árabes, El Tino, Tricolor;CDP;Palestino;Municipal de La Cisterna;http://www.palestino.cl/;CDPalestino;;;44;;;;;
221;Club de Deportes Antofagasta ;14/5/1966;Pumas, Albicelestes;CDA;Antofagasta;Regional Calvo y Bascuñan;http://www.cdantofagasta.cl/;CD_Antofagasta;;;44;;;;;
222;Club de Deportes Cobresal;05/05/1979;Mineros, Legionarios;CDC;Cobresal;El Cobre;http://www.cdcobresal.cl/;COBRESAL;;;44;;;;;
223;Club Deportivo Unión San Felipe;16/10/1956;Uní-Uní, Albirrojos, Aconcagüinos;USF;San Felipe;Municipal de San Felipe;http://www.unionsanfelipe.com/;USanFelipeSADP ;;;44;;;;;
224;Liga Deportiva Universitaria de Loja;26/11/1979;La Garra del Oso, Albos;LDUL;Liga de Loja;Federativo Reina del Cisne;http://www.ligadeloja.com/;LDULOJA;;;60;;;;;
225;Barcelona Sporting Club;05/01/1925;Canarios, Toreros;BSC;Barcelona (Ec.);Monumental Banco Pichincha;http://www.barcelonasc.com.ec/;BarcelonaSCweb;;;60;;;;;
226;Club Sport Emelec;28/4/1929;El Bombillo, Eléctricos;CSE;Emelec;George Capwell;http://www.emelec.com.ec/;csemelec;;;60;;;;;
227;Club Social y Deportivo Independiente;03/01/1958;Negriazules, Rayados del Valle;IDV;Independiente del Valle;Municipal General Rumiñahui;http://www.independientedelvalle.com.ec/;Independelvalle ;;;60;;;;;
228;Club Deportivo Cuenca;03/04/1971;Expreso Austral, Morlaco, Rojo, León;CDC;Dep. Cuenca;Alejandro Serrano Aguilar;http://www.deportivocuenca.com.ec/;DCuencaOficial;;;60;;;;;
229;Liga Deportiva Universitaria de Quito;01/11/1930;La U, Albos, Azucenas, Rey de Copas;LDUQ;Liga de Quito;"Liga Deportiva Universitaria, ""Casa Blanca""";http://www.ldu.com.ec/;LDUWEB;;;60;;;;;
230;Sociedad Deportivo Quito;07/09/1940;La Academia;SDQ;Dep. Quito;Olímpico Atahualpa;http://www.deportivoquito.com/;SDQUITO;;;60;;;;;
231;Club Deportivo El Nacional;03/07/1960;Criollos, Militar, Maquina Gris;CDN;El Nacional;Olímpico Atahualpa;http://www.elnacional.ec;elnacionalec;;;60;;;;;
232;Manta Fútbol Club;01/01/1967;Atuneros, Celestes, Tiburones;MFC;Manta;Jocay;http://www.mantafutbolclub.com/;MantaFutbolClub;;;60;;;;;
233;Club Social y Deportivo Macará;25/8/1939;Celestes, Guaytambos;CSDM;Macará;Bellavista;http://www.clubmacara.com.ec/;CDMacara;;;60;;;;;
234;Club Deportivo Técnico Universitario;26/3/1971;Rodillo Rojo, Albirrojos, Tecniquinos;CDTU;Técnico Universitario;Bellavista;http://www.tecnicouniversitario.ec/;rodillorojo;;;60;;;;;
235;Centro Deportivo Olmedo;11/10/1916;El Ciclón ;CDO;Olmedo;Olímpico Ciudad de Riobamba;http://www.olmedoderiobamba.com/;olmedoriobamba;;;60;;;;;
236;Club Olimpia;25/7/1902;Decano, Franjeado, Rey de Copas;CO;Olimpia;Manuel Ferreira;http://www.olimpia.com.py/;olimpia;;;174;;;;;
237;Club Cerro Porteño;10/01/1912;Ciclón, La Mitad más 1, Azulgrana;CCP;Cerro Porteño;Gral. Pablo Rojas;http://www.cerro.com.py/;ccp1912oficial;;;174;;;;;
238;Foot Ball Club Libertad;30/7/1905;Gumarelo, Repollero, Albinegro;FBCL;Libertad;Dr. Nicolás Leoz;http://www.clublibertad.com.py/;Libertad_Guma;;;174;;;;;
239;Club Sol de América;22/3/1909;El Danzarín;CSA;Sol de América;Luis Alfonso Giagni;http://www.soldeamerica.com/;sdeamerica1909;;;174;;;;;
240;Club Guaraní;10/12/1903;El Legendario, Aborigen;CG;Guaraní;Rogelio Livieres;http://www.clubguarani.com.py/;clubguarani;;;174;;;;;
241;Club Nacional;06/05/1904;Academia, Tricolor;CN;Nacional;Arsenio Erico;http://www.clubnacional.com.py/;clubnacionalpy;;;174;;;;;
242;Independiente de Campo Grande;20/9/1925;Campograndense;ICG;Indep. Campo Grande;Ricardo Gregor;http://clubindependientecg.blogspot.com.ar/;IndependienteCG ;;;174;;;;;
243;Club Atlético Presidente Franco;08/12/1967;Ciclón del Este, Populoso de Alto Paraná;CAPF;Cerro Porteño PF;Juan Eudes Pereira;http://www.cerrodefranco.com;Cerro_deFranco ;;;174;;;;;
244;Club Sportivo Luqueño;05/01/1921;Kure Luque, Chanchón;CSL;Sportivo Luqueño;Feliciano Cáceres;http://www.republicadeluque.com.py/;SpLuquenOficial;;;174;;;;;
245;Club Rubio Ñu;24/8/1913;Ñuenses, Albiverdes;CRÑ;Club Rubio Ñu;La Arboleda;http://www.clubrubionu.com.py/;rubionu1913 ;;;174;;;;;
246;Club Sportivo Carapeguá;09/03/2010;El Potro;CSC;Sportivo Carapeguá;Teniente 1º Alcides González;http://www.facebook.com/SptvoCarapegua;SptvoCarapegua ;;;174;;;;;
247;Tacuary Football Club;12/10/1923;Tacua;TFC;Tacuary;Roberto Béttega;http://www.tacuary.com/;TacuaryFBC;;;174;;;;;
248;Club Deportivo Universidad César Vallejo;01/06/1996;Poetas, Azulceleste;UCV;U. César Vallejo;Mansiche;http://www.clubdeportivoucv.edu.pe/;clubucv;;;175;;;;;
249;Club Sporting Cristal;13/12/1955;Bajopontinos, Celestes, Cerveceros;CSC;Sporting Cristal;San Martín de Porres;http://www.clubsportingcristal.pe/;clubscristal;;;175;;;;;
250;Asociación Civil Real Atlético Garcilaso;28/7/2009;La Máquina Celeste;RAG;Real Garcilaso;Garcilaso de la Vega;http://www.realgarcilaso.pe/;REALGARCILASO;;;175;;;;;
251;Foot Ball Club Melgar;25/3/1915;Dominó, Rojinegros, León;FBCM;Melgar;Monumental de la UNSA;http://www.fbcmelgar.pe/;ClubFBCMelgar;;;175;;;;;
252;Club Inti Gas Deportes ;27/7/1972;Los Gasíferos;IGD;Inti Gas Deportes;Ciudad de Cumaná;http://intigasdeportes.blogspot.com.ar/;intigasdeportes;;;175;;;;;
253;Club Juan Aurich;09/03/1922;Ciclón del Norte, Auriche;CJA;Juan Aurich;Elías Aguirre;http://www.juanaurich.net/;Juan_Aurich ;;;175;;;;;
254;Club Social Deportivo León de Huánuco;29/6/1946;León, Cremas del Centro;DLH;León de Huanuco;Heraclio Tapia;http://www.leondehuanuco.com.pe/;LeonDeHco ;;;175;;;;;
255;Club Deportivo Unión Comercio;15/6/1994;Poderoso del Alto Mayo, Comerciantes;CDUC;Unión Comercio;Carlos Vidaurre García;http://www.clubunioncomercio.com/;CDUCMENORES;;;175;;;;;
256;Club Deportivo Universidad de San Martín de Porres;21/1/2004;Santos, Albos;SMP;San Martín de Porres;San Martín de Porres;http://www.clubdeportivo.usmp.edu.pe/;Club_USMP;;;175;;;;;
257;José Gálvez Foot Ball Club;27/10/1951;Galvistas, Pesqueros;JGFC;José Gálvez;Manuel Rivera Sánchez;http://www.josegalvezfbc.com/;clubjosegalvez;;;175;;;;;
258;Club Social y Deportivo Sport Huancayo;02/07/2007;Rojo Matador, León de la Incontrastable;SH;Sport Huancayo;Huancayo;http://www.elsporthuancayo.blogspot.com;Sport_Huancayo;;;175;;;;;
259;Club Alianza Lima;15/2/1901;Aliancistas, Blanquiazules, Potrillos;CAL;Alianza Lima;Alejandro Villanueva;http://www.clubalianzalima.com/;ClubAlianzaLima;;;175;;;;;
260;Club Sportivo Cienciano;07/08/1910;Rojo, Imperial;CSC;Cienciano;Garcilaso de la Vega;http://www.cienciano.com/;ADFPCienciano;;;175;;;;;
261;Club Sport Boys Association;27/8/1927;Rosada, Porteños, Misilera;SBA;Sport Boys;Miguel Grau;http://www.sportboys.com.pe/;sportboys;;;175;;;;;
262;Club Universitario de Deportes;08/07/1924;U, Cremas, Merengues;CUD;Universitario;Monumental de Lima;http://www.clubuniversitario.pe/;Universitario;;;175;;;;;
263;Club Deportivo Cobresol FBC;02/05/2008;Los Dorados;CFCB;Cobresol ;25 de Noviembre;http://www.cobresol.net/;CobresolFBC_ ;;;175;;;;;
264;Club Nacional de Football;14/05/1899;Bolso, Tricolor, Decano;CNF;Nacional;Centenario;http://www.nacional.com.uy/;club_nacional;83;3;228;;;;;
265;Club Atlético Peñarol;28/09/1891;Manya, Carboneros, Mirasoles;CAP;Peñarol;Centenario;http://www.peñarol.org/;OficialCAP;98;3;228;;;;;
266;Danubio Fútbol Club;03/01/1932;Franja, Danu, Curva;DFC;Danubio;Jardines;http://www.danubio.org.uy/;DanubioFC;72;3;228;;;;;
267;Club Atlético River Plate;05/11/1932;La Dársena;CARP;River Plate (U);Federico Omar  Saroldi;http://www.cariverplate.com.uy/;;197;3;228;;;;;
268;Cerro Largo Fútbol Club;19/11/2002;Arachanes, Azul y Blanca;CLFC;Cerro Largo;Arq. Antonio Eleuterio Ubilla;http://www.cerrolargofc.com.uy/;CerroLargoFC ;958;3;228;;;;;
269;Defensor Sporting Club;15/3/1913;Violeta, Tuertos, Farola, Cometa;DSC;Defensor Sporting;Luis Franzini;http://www.defensorsporting.com.uy/;defensorspweb ;110;3;228;;;;;
270;Club Atlético Cerro;12/01/1922;Villeros, Albiceleste;CAC;Cerro;Luis Tróccoli;http://www.clubatleticocerro.com/;CACerro_oficial;188;3;228;;;;;
271;Liverpool Fútbol Club;15/2/1915;Negriazul;LFC;Liverpool;Belvedere;http://www.liverpoolfc.com.uy/;LiverpoolFC1915;191;3;228;;;;;
272;Centro Cultural y Deportivo El Tanque Sisley;17/3/1955;Verdinegro, Tanques, Fusionado;ETS;El Tanque Sisley;Víctor Della Valle;;eltanquesisley;961;3;228;;;;;
273;Montevideo Wanderers Fútbol Club;15/8/1902;Bohemios, Vagabundos;MWFC;Montevideo Wanderers;Alfredo Víctor Viera;http://www.mwfc.com.uy/;mwfc_oficial;200;3;228;;;;;
274;Racing Club de Montevideo;04/06/1919;Cerveceros, Escuelita, Academia;RCM;Racing (M);Parque Osvaldo Roberto;http://www.racing.com.uy;RacingCM ;964;3;228;;;;;
275;Central Español Fútbol Club;01/05/1905;Palermitanos;CEFC;Central Español;Parque Palermo;http://www.central.com.uy/;CENTRALESPANOL ;;3;228;;;;;
276;Centro Atlético Fénix;07/07/1916;Albivioletas, Ave;CAF;Fénix;Parque Capurro  ;http://www.cafenix.com.uy/;CAFenixFollower;190;3;228;;;;;
277;Club Atlético Juventud;24/12/1935;Juve, Pedrenses, Canarios;CAJ;Juventud;Parque Artigas;http://www.clubjuventud.org/;juvelaspiedras;;3;228;;;;;
278;Club Atlético Progreso;30/4/1917;Gaucho del Pantanoso;CAP;Progreso;Parque Abraham Paladino;http://www.clubatleticoprogreso.com.uy/;caprogreso;;3;228;;;;;
279;Club Atlético Bella Vista;10/04/1920;Papales, Auriblancos;CABV;Bella Vista;Parque José Nasazzi;http://www.cabellavista.com.uy/;CABellaVista;272;3;228;;;;;
280;Club Santos Laguna;09/04/1983;Guerreros, Santos;CSL;Santos Laguna;TSM Corona;http://www.clubsantoslaguna.com.mx/;clubsantoslagun;;;154;;;;;
281;Club de Fútbol Monterrey;28/6/1945;Rayados, Albiazules;CFM;Monterrey;Tecnológico;http://www.rayados.com/;RayadosCom;;;154;;;;;
282;Club de Fútbol América;12/10/1916;Águilas;CFA;América;Azteca;http://www.clubamerica.com.mx;CF_America;;;154;;;;;
283;Club Monarcas Morelia;21/11/1924;Monarquía, Monarcas;CMM;Morelia;Morelos;http://www.fuerzamonarca.com/;FuerzaMonarca;;;154;;;;;
284;Club de Fútbol Tigres de la Universidad Autónoma de Nuevo León;03/07/1967;Felinos, Auriazules;CFT;Tigres;Universitario;http://www.tigres.com.mx/;TigresOficial;;;154;;;;;
285;Club de Fútbol Pachuca;28/11/1901;Tuzos;CFP;Pachuca;Hidalgo;http://www.tuzos.com.mx/;TuzosOficial;;;154;;;;;
286;Club Tijuana Xoloitzcuintles de Caliente;14/1/2007;Xolos, Perros aztecas, Rojinegros;CTX;Tijuana;Caliente;http://www.xolos.com.mx/;XolosOficial;;;154;;;;;
287;Club de Fútbol Jaguares de Chiapas;27/6/2002;Jaguares, Naranjas;CFJ;Chiapas;Víctor Manuel Reyna;http://www.jaguaresdechiapas.com.mx/;soyjaguar;;;154;;;;;
288;Cruz Azul Fútbol Club;22/5/1927;Máquina Cementera, Azules, Cementeros;CAFC;Cruz Azul;Azul;http://www.cruzazulfc.com/;Cruz_Azul_FC;;;154;;;;;
289;Deportivo Toluca Fútbol Club;02/12/1917;Diablos Rojos, Choriceros, Rojo;DTFC;Toluca;Nemesio Díez;http://www.deportivotolucafc.com/;deptolucafc ;;;154;;;;;
290;Club Social y Deportivo Atlas de Guadalajara;15/8/1916;Rojinegros, Zorros;CAG;Atlas;Jalisco;http://www.atlas.com.mx/;atlasoficial;;;154;;;;;
291;Club de Fútbol Puebla;05/07/1944;Camoteros, Franja;CFP;Puebla;Cuauhtémoc;http://www.pueblafutbolclub.com.mx/;Pueblafcoficial;;;154;;;;;
292;Club Universidad Nacional ;28/8/1954;Pumas, UNAM, Universitarios;CUN;Pumas ;Olímpico Universitario;http://www.clubpumasunam.com;ClubUniversidad;;;154;;;;;
293;Club de Fútbol Atlante;18/4/1916;Potros, Azulgranas;CFA;Atlante;Olímpico Andrés Quintana Roo;http://www.atlantefc.mx/;FCAtlante;;;154;;;;;
294;Club Deportivo Guadalajara;05/08/1906;Rebaño Sagrado, Chivas Rayadas;CDG;Chivas;Omnilife;http://www.chivascampeon.com/;Chivas;;;154;;;;;
295;San Luis Fútbol Club;01/01/1957;Auriazules, Gladiadores;SLFC;San Luis;Alfonso Lastras Ramírez;http://www.clubsanluis.com.mx/;SanLuis_FC;;;154;;;;;
296;Querétaro Fútbol Club;07/08/1950;Gallos, Albiazules;QFC;Querétaro;Corregidora;http://www.clubqueretaro.com/;club_queretaro;;;154;;;;;
297;Club León Fútbol Club;20/8/1944;Panzas Verdes, Fiera;CLFC;León ;León;http://www.clubleon-fc.com/;clubleonfcv;;;154;;;;;
298;Amsterdamsche Football Club Ajax;18/3/1900;Sons of God, Ajacieden;AFCA;Ajax;Amsterdam Arena;http://www.ajax.nl;AFCAjax;;;96;;;;;
299;Feyenoord Rotterdam;19/7/1908;Industrials, Legion;FR;Feyenoord;De Kuip;http://www.feyenoord.nl;Feyenoord;;;96;;;;;
300;Philips Sport Vereniging;31/8/1913;The Peasants;PSV;PSV;Philips;http://www.psv.nl;PSV;;;96;;;;;
301;AZ Alkmaar Zaanstreek;05/10/1967;The Cheese Farmers;AZA;AZ;AFAS ;http://www.az.nl;wwwaznl;;;96;;;;;
302;Sportclub Heerenveen;20/7/1920;Super Friezen;SCH;Heerenveen;Abe Lenstra ;http://www.sc-heerenveen.nl;scheerenveen;;;96;;;;;
303;Football Club Twente;07/01/1965;Tukkers, Reds;FCT;Twente;De Grolsch Veste;http://www.fctwente.nl;fctwente;;;96;;;;;
304;Stichting Betaald Voetbal Vitesse;14/5/1892;Yellow Blacks;SBVV;Vitesse;GelreDome;http://www.vitesse.nl;MijnVitesse;;;96;;;;;
305;Nijmegen Eendracht Combinatie;15/11/1900;Eniesee;NEC;NEC;Goffertstadion;http://www.nec-nijmegen.nl;NEC_Nijmegen;;;96;;;;;
306;Rooms Katholieke Combinatie Waalwijk;26/8/1940;RKC;RKCW;RKC Waalwijk;Mandemakers ;http://www.rkcwaalwijk.nl;rkcwaalwijk;;;96;;;;;
307;Sportvereniging Roda Juliana Combinatie Kerkrade;27/6/1962;Koempels;RJC;Roda ;Parkstad Limburg ;http://www.rodajc.nl;rodajckerkrade;;;96;;;;;
308;Football Club Utrecht;07/01/1970;Utreg ;FCU;Utrecht;Galgenwaard;http://www.fcutrecht.nl;fcutrecht;;;96;;;;;
