author:;stream:;highlight; videocategory;createdAt; title;tag_idols;tag_teams;tag_texts;content
1;1_dnbicusw;true;3;15/01/2013;El Gran Diablo de Independiente;31;15;Diablo, El Gran Diablo, Avellaneda, Fans, CAI, Hinchada, Infierno Rojo.;La historia del Diablo, uno de los principales fans de Independiente de Avellaneda. Cómo creo su mítico personaje, su función en la tribuna y su pasión por el Rojo.
1;1_iw1x4krk;true;3;14/01/2013;El Madrid y sus hinchas en la Casa Blanca;154, 282, 321, 322, 323, 324;60;España, La Casa Blanca, Santiago Bernabéu, Coche Fantástico, Coche Fantástico, ;Los fans del Real Madrid cuentan cómo es ser hincha del Merengüe. En la previa de un partido en el Bernabéu, todo el sentimiento y la pasión, en el testimonio de la afición madridista en las cercanías a la Casa Blanca.
1;1_3h9an8zl;true;3;14/01/2013;El PSG y sus fans en el Parque de los Príncipes;183, 168, ;81;Fans, PSG, París, Francia, Parque de los Príncipes;Los hinchas del Paris Saint Germain expresan su pasión y detallan su sentimiento por el club. La admiración por Javier Pastore y el color de los fans parisinos, mientras los acompañarmos a vivir un partido en el Parque de los Príncipes.
1;1_arehq5xf;true;3;14/01/2013;El recuerdo de Juanito Maravillas, ídolo del Real Madrid;286, 320;60;Fans, Madrid, España, Juanito Maravilla, Vicente Temprado García, Luis Redondo, Arganda, España;"Las autoridades de Arganda del Rey y los madridistas de la peña ""Juanito Maravilla"", recuerdan con un amistoso al ídolo merengüe. Con la presencia del DT de España Vicente del Bosque -compañero y amigo de Juanito-, la selección de veteranos de Madrid y un combinado de la asociación partidaria, homenajean al ex crack del Real tras 20 años de su fallecimiento."
1;1_zoefnnek;true;3;14/01/2013;El Tano Pasman, la historia de uno de los fanáticos más grandes de River Plate;182, 225;1, 19, 10, 11, 30;JJ López, José María Aguilar, Walter Nelson, Furia, Fans, Pasión, Tano Pasman, B Nacional, Promoción, ídolo, Ignacio Copani;"El Tano Pasman repasa como fue la cámara oculta en la Promoción frente a Belgrano; y como vivió el descenso de su querido River Plate. Cuándo lo llamó Walter Nelson y cómo fue convirtirse en un famoso hincha Millonario. Su manera de vivir el fútbol, su fanatismo y toda su pasión. "
1;1_biu5ygux;true;3;15/01/2013;Inter Club Amala, el club de fans interistas;257, 157;123;Fans, Amala, Italia, Calcio, Fans Club,  ;Inter Club Amala, el principal club de Fans del Inter de Milán, muestra toda la pasión de los hinchas nerazzurris. Cómo surgió la idea, la mentalidad de los interistas y el testimonio de varios fanáticos. 
1;1_y6q2fs64;true;3;14/01/2013;La Bandera más larga del mundo es de River;;19;El Monumental, Fans, Bandera, Hinchada, La Bandera más larga del mundo, Frente Ángel Labruna, Nito Artaza, Los Millo, CARP, Carlos Trillo;Los hinchas de River disfrutan de la fiesta organizada por el Frente Ángel Labruna, con el motivo de festejar con la Bandera más larga del mundo la unión del pueblo riverplatense. Toda la pasión y el sentimiento Millonario, a lo largo de los 7.829,74 metros del trapo de la Banda.
1;1_838a4tot;true;3;14/01/2013;La barra de Cerro Porteño;;237;Cerrista, Centenario, Paraguay, Pasión Cerrista, CCP, Ciclón, 100 años, Barra, Hinchada, Bandera, Fans.;La hinchada de Cerro Porteño -Paraguay- y su aguante partido tras partido. El testimonio de los líderes de la barra cerrista y toda su organización.
1;1_20x4iv3x;true;3;14/01/2013;La despedida de la Bruja Verón;13, 93, 34, 249;7;Bruja Verón, La Plata, Mística Pincharrata, Fans, Pincha, Oscar Malbernat, ;En el último partido de la gran carrera de Juan Sebastián Verón, los hinchas de Estudiantes de La Plata le brindan todo su cariño. Todo el color de la fiesta y la pasión de los fans despidiendo al máximo ídolo del Pincha. 
1;1_bzrchc5c;true;3;14/01/2013;"La Furia Española y el Madridismo, en el ""coche fantástico"" de Luis Redondo";325, 324, 320;60;España, Renault 12, Luis Redondo, Juanito Maravilla, Fans, Rafael Nadal, Santiago Bernabéu, Coche Fantástico;"Luis Redondo, fanático de España y del Real Madrid, presenta su coche fantástico y nos cuenta su historia. Cómo surgió la idea, el objetivo de continuar con la tradición de su padre; y todos los detalles de su Renault 12 tuneado de español y madridista."
